drug_id,month,actual_sales_units,forecasted_sales_naive,forecasted_sales_arima,forecasted_sales_bass,forecasted_sales_analog_bass_static
NEW_DRUG_3,11,6767,6961,6710,4709,6874
NEW_DRUG_3,12,2481,2436,2466,5236,2360
NEW_DRUG_3,13,9313,9613,9333,2648,9520
NEW_DRUG_3,14,7569,7874,7560,6385,7826
NEW_DRUG_3,15,7632,7323,7332,883,7626
NEW_DRUG_3,16,5990,5759,5825,5529,5968
NEW_DRUG_3,17,3626,3634,3483,881,4023
NEW_DRUG_3,18,9280,9202,9315,5760,9136
NEW_DRUG_3,19,5378,5449,5154,3908,5229
NEW_DRUG_3,20,7123,7485,6900,3944,7521
NEW_DRUG_3,21,8755,8685,8869,3937,8976
NEW_DRUG_3,22,6082,5851,5901,7191,6186
NEW_DRUG_3,23,4111,3660,4265,5080,3979
NEW_DRUG_3,24,2235,2007,2500,6068,2321
NEW_DRUG_3,25,9896,9625,9904,1535,9721
NEW_DRUG_3,26,9814,10308,9812,4724,9846
NEW_DRUG_3,27,5081,5182,4798,3578,5452
NEW_DRUG_3,28,1637,1405,1840,3533,1667
NEW_DRUG_3,29,2098,1921,1925,2535,2291
NEW_DRUG_3,30,2122,2005,1916,2451,2337
NEW_DRUG_3,31,2951,2532,2732,7344,3217
NEW_DRUG_3,32,4480,4215,4550,3722,4698
NEW_DRUG_3,33,5807,5779,5877,7037,5947
NEW_DRUG_3,34,8143,7995,8201,7985,8483
NEW_DRUG_3,35,2427,2411,2577,599,2480
NEW_DRUG_3,36,8975,9315,8823,3917,8838
NEW_DRUG_4,1,5409,5679,5207,2975,5746
NEW_DRUG_4,2,5064,4923,5005,5248,5129
NEW_DRUG_4,3,6827,6681,6901,3484,6714
NEW_DRUG_4,4,6282,6665,6274,5734,6521
NEW_DRUG_4,5,6596,6382,6826,1024,6955
NEW_DRUG_4,6,5703,5700,5640,2026,5607
NEW_DRUG_4,7,8193,8606,8055,2553,8150
NEW_DRUG_4,8,6334,6251,6175,7125,6311
NEW_DRUG_4,9,6699,6571,6625,7269,6908
NEW_DRUG_4,10,3791,4235,3869,7988,3980
NEW_DRUG_4,11,4255,4693,4484,4940,4435
NEW_DRUG_4,12,1132,1453,1072,1505,1188
NEW_DRUG_4,13,1899,2106,1963,7709,1918
NEW_DRUG_4,14,9938,10231,9818,1620,9744
NEW_DRUG_4,15,4104,4484,4174,5297,4224
NEW_DRUG_4,16,1649,1480,1754,1003,1926
NEW_DRUG_4,17,5482,5275,5676,2100,5413
NEW_DRUG_4,18,2668,2901,2542,1870,2895
NEW_DRUG_4,19,9590,9875,9671,2991,9716
NEW_DRUG_4,20,9193,9454,9492,5681,9060
NEW_DRUG_4,21,8650,8423,8786,4274,8770
NEW_DRUG_4,22,4296,4394,4394,4974,4563
NEW_DRUG_4,23,3432,3772,3498,6891,3416
NEW_DRUG_4,24,2476,2028,2370,1273,2344
NEW_DRUG_4,25,4527,4173,4318,6369,4456
NEW_DRUG_4,26,7540,7151,7693,3663,7700
NEW_DRUG_4,27,7341,7009,7440,706,7466
NEW_DRUG_4,28,1439,1481,1152,3784,1592
NEW_DRUG_4,29,5568,5508,5764,1041,5842
NEW_DRUG_4,30,6001,5633,6153,1490,6168
NEW_DRUG_4,31,1012,1059,737,1674,814
NEW_DRUG_4,32,5205,5586,5095,7633,5392
NEW_DRUG_4,33,3718,3390,3645,5471,4066
NEW_DRUG_4,34,4373,4169,4445,6880,4317
NEW_DRUG_4,35,3915,4217,3873,1425,3815
NEW_DRUG_4,36,8532,8303,8431,3942,8659
NEW_DRUG_5,1,5673,5668,5503,2313,5761
NEW_DRUG_5,2,7506,7556,7782,3833,7523
NEW_DRUG_5,3,8791,8303,8535,4799,8779
NEW_DRUG_5,4,6120,6099,6158,1818,6022
NEW_DRUG_5,5,6745,6274,6955,2293,6952
NEW_DRUG_5,6,3926,3797,3626,5254,3823
NEW_DRUG_5,7,7381,7046,7248,2849,7755
NEW_DRUG_5,8,3451,3891,3524,4131,3684
NEW_DRUG_5,9,8876,8902,8994,2174,9106
NEW_DRUG_5,10,7544,7273,7792,4602,7544
NEW_DRUG_5,11,6384,6059,6146,2864,6584
NEW_DRUG_5,12,5665,5431,5891,7370,5701
NEW_DRUG_5,13,6001,5603,5912,5042,6044
NEW_DRUG_5,14,5249,5491,5064,7481,5367
NEW_DRUG_5,15,4261,3784,4220,2335,4377
NEW_DRUG_5,16,8294,8197,8177,2299,8627
NEW_DRUG_5,17,9498,9509,9299,6135,9553
NEW_DRUG_5,18,7811,7575,8065,1016,8184
NEW_DRUG_5,19,3289,2836,3339,1286,3147
NEW_DRUG_5,20,6066,6082,5837,4608,6011
NEW_DRUG_5,21,5514,5409,5799,5392,5451
NEW_DRUG_5,22,1479,1745,1618,5524,1411
NEW_DRUG_5,23,2916,3328,3118,2122,2943
NEW_DRUG_5,24,8190,7787,8041,631,8234
NEW_DRUG_5,25,1717,1258,1614,7330,1835
NEW_DRUG_5,26,4503,4666,4342,3373,4827
NEW_DRUG_5,27,5449,5470,5744,5263,5720
NEW_DRUG_5,28,7944,7836,7798,6633,7901
NEW_DRUG_5,29,1051,942,835,7633,1191
NEW_DRUG_5,30,7271,7361,7547,1646,7319
NEW_DRUG_5,31,9288,9422,9444,4608,9635
NEW_DRUG_5,32,3340,3764,3151,4676,3700
NEW_DRUG_5,33,7889,7984,8148,2662,8257
NEW_DRUG_5,34,9556,9098,9855,7913,9644
NEW_DRUG_5,35,8586,8998,8682,5720,8472
NEW_DRUG_5,36,1761,1589,1894,7589,1911
