drug_id_1,drug_id_2,similarity
ANALOG_7,NEW_DRUG_5,0.8376721811206599
ANALOG_8,ANALOG_9,0.5812460490727888
ANALOG_8,ANALOG_10,0.027428764388088722
ANALOG_8,NEW_DRUG_1,0.6250388373529437
ANALOG_8,NEW_DRUG_2,0.7373488682823017
ANALOG_8,NEW_DRUG_3,0.041375603179053755
ANALOG_8,NEW_DRUG_4,0.32167078090349954
ANALOG_8,NEW_DRUG_5,0.06690757663548519
ANALOG_9,ANALOG_10,0.9492766558820319
ANALOG_9,NEW_DRUG_1,0.5806175804450219
ANALOG_9,NEW_DRUG_2,0.5921419982689318
ANALOG_9,NEW_DRUG_3,0.9305800054847578
ANALOG_9,NEW_DRUG_4,0.9791517495092206
ANALOG_9,NEW_DRUG_5,0.8281279734904562
ANALOG_10,NEW_DRUG_1,0.28935120703001105
ANALOG_10,NEW_DRUG_2,0.8540177047001111
ANALOG_10,NEW_DRUG_3,0.5549405619304412
ANALOG_10,NEW_DRUG_4,0.7612745231966072
ANALOG_10,NEW_DRUG_5,0.6763799330062831
NEW_DRUG_1,NEW_DRUG_2,0.5163251194126336
NEW_DRUG_1,NEW_DRUG_3,0.5934021284502439
NEW_DRUG_1,NEW_DRUG_4,0.708191115912921
NEW_DRUG_1,NEW_DRUG_5,0.12126068948177793
NEW_DRUG_2,NEW_DRUG_3,0.3448030594097514
NEW_DRUG_2,NEW_DRUG_4,0.9091061889782934
NEW_DRUG_2,NEW_DRUG_5,0.7950345236158478
NEW_DRUG_3,NEW_DRUG_4,0.3593471824438127
NEW_DRUG_3,NEW_DRUG_5,0.692253322479074
NEW_DRUG_4,NEW_DRUG_5,0.06246856489619246
