drug_id,month,sales_units
ANALOG_5,21,3441
ANALOG_5,22,910
ANALOG_5,23,2907
ANALOG_5,24,4441
ANALOG_6,1,1598
ANALOG_6,2,873
ANALOG_6,3,479
ANALOG_6,4,2041
ANALOG_6,5,2491
ANALOG_6,6,3056
ANALOG_6,7,2633
ANALOG_6,8,2081
ANALOG_6,9,174
ANALOG_6,10,2359
ANALOG_6,11,1672
ANALOG_6,12,4938
ANALOG_6,13,771
ANALOG_6,14,4348
ANALOG_6,15,4108
ANALOG_6,16,661
ANALOG_6,17,877
ANALOG_6,18,1793
ANALOG_6,19,3424
ANALOG_6,20,492
ANALOG_6,21,4397
ANALOG_6,22,2442
ANALOG_6,23,2485
ANALOG_6,24,4436
ANALOG_7,1,2108
ANALOG_7,2,3862
ANALOG_7,3,2778
ANALOG_7,4,1280
ANALOG_7,5,328
ANALOG_7,6,4234
ANALOG_7,7,4307
ANALOG_7,8,1941
ANALOG_7,9,4615
ANALOG_7,10,4721
ANALOG_7,11,2386
ANALOG_7,12,2971
ANALOG_7,13,3604
ANALOG_7,14,571
ANALOG_7,15,2581
ANALOG_7,16,752
ANALOG_7,17,1672
ANALOG_7,18,465
ANALOG_7,19,2966
ANALOG_7,20,2636
ANALOG_7,21,163
ANALOG_7,22,1563
ANALOG_7,23,3034
ANALOG_7,24,2467
ANALOG_8,1,3044
ANALOG_8,2,593
ANALOG_8,3,239
ANALOG_8,4,1702
ANALOG_8,5,3755
ANALOG_8,6,3278
ANALOG_8,7,4162
ANALOG_8,8,3540
ANALOG_8,9,3518
ANALOG_8,10,2944
ANALOG_8,11,4748
ANALOG_8,12,2182
ANALOG_8,13,4480
ANALOG_8,14,3221
ANALOG_8,15,2551
ANALOG_8,16,4676
ANALOG_8,17,2509
ANALOG_8,18,2641
ANALOG_8,19,3532
ANALOG_8,20,3466
ANALOG_8,21,1702
ANALOG_8,22,2121
ANALOG_8,23,3552
ANALOG_8,24,807
ANALOG_9,1,1491
ANALOG_9,2,3180
ANALOG_9,3,2081
ANALOG_9,4,1879
ANALOG_9,5,1761
ANALOG_9,6,2230
ANALOG_9,7,4297
ANALOG_9,8,629
ANALOG_9,9,2261
ANALOG_9,10,1228
ANALOG_9,11,696
ANALOG_9,12,3267
ANALOG_9,13,4355
ANALOG_9,14,4887
ANALOG_9,15,1118
ANALOG_9,16,4037
ANALOG_9,17,2294
ANALOG_9,18,1413
ANALOG_9,19,4005
ANALOG_9,20,155
ANALOG_9,21,302
ANALOG_9,22,4460
ANALOG_9,23,3077
ANALOG_9,24,4895
ANALOG_10,1,1515
ANALOG_10,2,1377
ANALOG_10,3,3391
ANALOG_10,4,4986
ANALOG_10,5,662
ANALOG_10,6,366
ANALOG_10,7,3439
ANALOG_10,8,2571
ANALOG_10,9,1050
ANALOG_10,10,3561
ANALOG_10,11,2160
ANALOG_10,12,2186
ANALOG_10,13,1991
ANALOG_10,14,3039
ANALOG_10,15,3175
ANALOG_10,16,254
ANALOG_10,17,3327
ANALOG_10,18,3857
ANALOG_10,19,2014
ANALOG_10,20,1424
ANALOG_10,21,3660
ANALOG_10,22,543
ANALOG_10,23,4280
ANALOG_10,24,885
