held_out_drug,model,MAE,RMSE,MAPE,R2,MASE,Bias
ANL_025,Analog_Only,7927.8946,9261.1237,14.1635,0.3636,0.4288,-7927.8946
ANL_025,Bass_Only,805.4654,999.4347,1.3645,0.9926,0.0436,3.2148
ANL_025,Analog_Bass_Static,810.4209,1004.8199,1.3692,0.9925,0.0438,3.4657
ANL_025,Analog_Bass_Adaptive,810.4209,1004.8199,1.3692,0.9925,0.0438,3.4657
ANL_026,Naive,12256.0,14635.9344,51.6468,-2.347,1.0,-12256.0
ANL_026,ARIMA,14333.1436,16305.4936,58.8836,-3.1541,1.1695,-14333.1436
ANL_026,Analog_Only,6473.428,7745.6931,27.3523,0.0626,0.5282,-6473.428
ANL_026,Bass_Only,717.9039,889.8211,2.2539,0.9876,0.0586,1.9627
ANL_026,Analog_Bass_Static,715.6651,889.774,2.2394,0.9876,0.0584,1.6733
ANL_026,Analog_Bass_Adaptive,715.6651,889.774,2.2394,0.9876,0.0584,1.6733
ANL_027,Naive,24585.6667,28722.6917,35.771,-2.7408,1.0,-24585.6667
ANL_027,ARIMA,25991.1121,29919.8007,37.6078,-3.0591,1.0572,-25991.1121
ANL_027,Analog_Only,3316.5959,4212.9031,4.5558,0.9195,0.1349,-3146.0951
ANL_027,Bass_Only,1516.2531,1822.6158,2.1542,0.9849,0.0617,20.1155
ANL_027,Analog_Bass_Static,1517.2231,1823.3688,2.1554,0.9849,0.0617,20.136
ANL_027,Analog_Bass_Adaptive,1517.2231,1823.3688,2.1554,0.9849,0.0617,20.136
ANL_028,Naive,2963.3333,3821.4019,10.6637,-1.0861,1.0,-2757.3333
ANL_028,ARIMA,2957.7998,3809.3994,10.6414,-1.073,0.9981,-2740.5799
ANL_028,Analog_Only,1914.1428,2316.6157,6.5162,0.2334,0.6459,1914.1428
ANL_028,Bass_Only,564.5013,705.9202,1.8939,0.9288,0.1905,0.3588
ANL_028,Analog_Bass_Static,564.4958,705.9202,1.8939,0.9288,0.1905,0.3588
ANL_028,Analog_Bass_Adaptive,564.4958,705.9202,1.8939,0.9288,0.1905,0.3588
ANL_029,Naive,16804.5,19846.4103,27.6262,-2.5329,1.0,-16804.5
ANL_029,ARIMA,21235.3094,23538.3095,34.1204,-3.9696,1.2637,-21235.3094
ANL_029,Analog_Only,4850.3789,6975.1573,8.235,0.5636,0.2886,-4850.3789
ANL_029,Bass_Only,2629.6425,3248.8477,3.9902,0.9053,0.1565,-4.9103
ANL_029,Analog_Bass_Static,2629.6456,3248.8477,3.9902,0.9053,0.1565,-4.9104
ANL_029,Analog_Bass_Adaptive,2629.6456,3248.8477,3.9902,0.9053,0.1565,-4.9104
ANL_030,Naive,5546.1667,7312.1251,8.8083,-1.155,1.0,-5353.1667
ANL_030,ARIMA,5574.3599,7343.1777,8.8521,-1.1733,1.0051,-5395.2082
ANL_030,Analog_Only,4063.6378,5058.1884,6.0965,-0.0312,0.7327,4063.6378
ANL_030,Bass_Only,1884.2256,2341.409,2.9189,0.779,0.3397,0.3688
ANL_030,Analog_Bass_Static,1884.8985,2341.3136,2.9198,0.7791,0.3399,0.3621
ANL_030,Analog_Bass_Adaptive,1884.8985,2341.3136,2.9198,0.7791,0.3399,0.3621
ANL_031,Naive,9913.0,11971.7156,11.4444,-2.1811,1.0,-9913.0
ANL_031,ARIMA,10020.9325,12060.5076,11.5632,-2.2284,1.0109,-10020.9325
ANL_031,Analog_Only,7770.2199,9826.9241,8.9353,-1.1434,0.7838,7770.2199
ANL_031,Bass_Only,1679.0995,2378.3993,1.8476,0.8744,0.1694,1.7003
ANL_031,Analog_Bass_Static,1680.2961,2379.5895,1.8488,0.8743,0.1695,1.7105
ANL_031,Analog_Bass_Adaptive,1680.2961,2379.5895,1.8488,0.8743,0.1695,1.7105
ANL_032,Naive,3313.8333,4015.0537,10.4796,-2.1368,1.0,-3313.8333
ANL_032,ARIMA,3161.8989,3829.8379,9.9999,-1.8541,0.9542,-3087.8577
ANL_032,Analog_Only,1238.8787,1808.9551,3.8925,0.3633,0.3739,685.7618
ANL_032,Bass_Only,999.5017,1258.7511,3.1594,0.6917,0.3016,0.5477
ANL_032,Analog_Bass_Static,998.4285,1258.1318,3.1562,0.692,0.3013,0.5418
ANL_032,Analog_Bass_Adaptive,998.4285,1258.1318,3.1562,0.692,0.3013,0.5418
ANL_033,Naive,14031.3333,17879.9085,9.9787,-1.6031,1.0,-14031.3333
ANL_033,ARIMA,15646.4883,19141.7668,11.0581,-1.9835,1.1151,-15646.4883
ANL_033,Analog_Only,11490.3595,13382.7807,7.7494,-0.4583,0.8189,8763.6879
ANL_033,Bass_Only,2852.7415,4077.4467,1.8325,0.8646,0.2033,-0.4085
ANL_033,Analog_Bass_Static,2852.7368,4077.4467,1.8324,0.8646,0.2033,-0.4086
ANL_033,Analog_Bass_Adaptive,2852.7368,4077.4467,1.8324,0.8646,0.2033,-0.4086
ANL_034,Naive,5410.6667,6994.63,27.7808,-1.4899,1.0,-5410.6667
ANL_034,ARIMA,7774.5556,8572.7818,37.4197,-2.7402,1.4369,-7774.5556
ANL_034,Analog_Only,1160.3515,1596.1342,6.03,0.8703,0.2145,-818.6173
ANL_034,Bass_Only,131.4979,155.341,0.5403,0.9988,0.0243,0.474
ANL_034,Analog_Bass_Static,131.4979,155.341,0.5403,0.9988,0.0243,0.474
ANL_034,Analog_Bass_Adaptive,131.4979,155.341,0.5403,0.9988,0.0243,0.474
ANL_035,Naive,14412.8333,16048.1875,18.3721,-4.1701,1.0,-14412.8333
ANL_035,ARIMA,14321.5802,15925.4089,18.2514,-4.0913,0.9937,-14276.085
ANL_035,Analog_Only,3930.1348,5654.6532,5.088,0.3581,0.2727,3930.1348
ANL_035,Bass_Only,3026.005,3306.6705,3.6267,0.7805,0.21,8.0978
ANL_035,Analog_Bass_Static,3023.5885,3304.2045,3.6239,0.7808,0.2098,8.0881
ANL_035,Analog_Bass_Adaptive,3023.5885,3304.2045,3.6239,0.7808,0.2098,8.0881
