held_out_drug,model,MAE,RMSE,MAPE,R2,MASE,Bias
ANL_010,Analog_Bass_Static,110917.1473,133694.4589,31.7552,-1.8294,0.844,110725.2447
ANL_010,Analog_Bass_Adaptive,110917.1473,133694.4589,31.7552,-1.8294,0.844,110725.2447
ANL_011,Naive,101588.7667,118863.9719,39.4295,-2.7099,1.0,101588.7667
ANL_011,ARIMA,101883.698,119115.8812,39.5675,-2.7256,1.0029,101883.698
ANL_011,Analog_Only,67585.2415,75735.0483,27.4355,-0.5061,0.6653,-67361.1066
ANL_011,Bass_Only,10505.309,14120.2546,4.5204,0.9476,0.1034,4156.6676
ANL_011,Analog_Bass_Static,11464.5776,14429.8675,4.8616,0.9453,0.1129,7445.9082
ANL_011,Analog_Bass_Adaptive,11464.5776,14429.8675,4.8616,0.9453,0.1129,7445.9082
ANL_012,Naive,95733.0333,110743.6238,69.1225,-2.957,1.0,95733.0333
ANL_012,ARIMA,94917.7986,110033.5181,68.2414,-2.9064,0.9915,94917.7986
ANL_012,Analog_Only,35624.9596,42064.995,25.0893,0.4291,0.3721,35624.9596
ANL_012,Bass_Only,80946.9466,96372.3808,55.8133,-1.9967,0.8455,80946.9466
ANL_012,Analog_Bass_Static,80946.9726,96372.4074,55.8133,-1.9967,0.8455,80946.9726
ANL_012,Analog_Bass_Adaptive,80946.9726,96372.4074,55.8133,-1.9967,0.8455,80946.9726
ANL_013,Naive,237082.6667,268509.6156,74.902,-3.5375,1.0,237082.6667
ANL_013,ARIMA,235790.8227,267346.5913,74.3129,-3.4983,0.9946,235790.8227
ANL_013,Analog_Only,112631.6317,126373.8976,36.3303,-0.0051,0.4751,112631.6317
ANL_013,Bass_Only,213073.2414,245454.1004,65.2163,-2.7917,0.8987,213073.2414
ANL_013,Analog_Bass_Static,213073.2111,245454.07,65.2163,-2.7917,0.8987,213073.2111
ANL_013,Analog_Bass_Adaptive,213073.2111,245454.07,65.2163,-2.7917,0.8987,213073.2111
ANL_014,Naive,56457.8333,64679.0368,73.838,-3.2006,1.0,56457.8333
ANL_014,ARIMA,56382.6274,64612.9511,73.6895,-3.1921,0.9987,56382.6274
ANL_014,Analog_Only,46500.197,53212.4303,60.7805,-1.8432,0.8236,46500.197
ANL_014,Bass_Only,50739.935,59234.5625,64.0993,-2.5232,0.8987,50739.935
ANL_014,Analog_Bass_Static,50739.9563,59234.5838,64.0994,-2.5232,0.8987,50739.9563
ANL_014,Analog_Bass_Adaptive,50739.9563,59234.5838,64.0994,-2.5232,0.8987,50739.9563
ANL_015,Naive,97564.6333,112629.4754,39.5059,-3.0061,1.0,97564.6333
ANL_015,ARIMA,97223.6323,112333.857,39.3426,-2.9851,0.9965,97223.6323
ANL_015,Analog_Only,48690.2046,53506.3963,20.8249,0.0959,0.4991,-48690.2046
ANL_015,Bass_Only,14700.5986,19498.2389,5.6709,0.8799,0.1507,13842.143
ANL_015,Analog_Bass_Static,14702.5078,19500.6723,5.6716,0.8799,0.1507,13844.1986
ANL_015,Analog_Bass_Adaptive,14702.5078,19500.6723,5.6716,0.8799,0.1507,13844.1986
ANL_016,Naive,72094.0,80801.3221,45.6209,-3.9041,1.0,72094.0
ANL_016,ARIMA,72230.9777,80923.6466,45.7208,-3.9189,1.0019,72230.9777
ANL_016,Analog_Only,14596.1438,15979.7211,10.0023,0.8082,0.2025,14058.4101
ANL_016,Bass_Only,67510.4359,76705.0634,42.2934,-3.4195,0.9364,67510.4359
ANL_016,Analog_Bass_Static,67510.3752,76705.0068,42.2933,-3.4195,0.9364,67510.3752
ANL_016,Analog_Bass_Adaptive,67510.3752,76705.0068,42.2933,-3.4195,0.9364,67510.3752
ANL_017,Naive,47846.3667,56460.9949,46.9632,-2.5477,1.0,47846.3667
ANL_017,ARIMA,46292.7165,55086.7264,45.0819,-2.3771,0.9675,46229.1051
ANL_017,Analog_Only,20799.3937,22920.7503,23.0934,0.4153,0.4347,-20799.3937
ANL_017,Bass_Only,9860.6388,15443.7401,8.9203,0.7346,0.2061,-8097.4518
ANL_017,Analog_Bass_Static,14732.4987,23202.9663,12.9018,0.4009,0.3079,-13289.2458
ANL_017,Analog_Bass_Adaptive,14732.4987,23202.9663,12.9018,0.4009,0.3079,-13289.2458
ANL_018,Naive,60323.5333,71185.6052,57.5651,-2.5474,1.0,60323.5333
ANL_018,ARIMA,60296.2445,71162.4698,57.5289,-2.5451,0.9995,60296.2445
ANL_018,Analog_Only,8181.8229,11651.301,7.3767,0.905,0.1356,6195.8626
ANL_018,Bass_Only,27915.0407,39783.0533,23.2183,-0.108,0.4628,-27739.1236
ANL_018,Analog_Bass_Static,50946.9102,76487.4234,40.9529,-3.0955,0.8446,-50791.1614
ANL_018,Analog_Bass_Adaptive,50946.9102,76487.4234,40.9529,-3.0955,0.8446,-50791.1614
ANL_019,Naive,269725.4,312208.8707,66.7368,-2.9427,1.0,269725.4
ANL_019,ARIMA,267150.0307,309976.7152,65.8017,-2.8865,0.9905,267150.0307
ANL_019,Analog_Only,137943.0706,161675.045,33.6097,-0.0573,0.5114,137943.0706
ANL_019,Bass_Only,221558.8444,295136.9338,47.6779,-2.5233,0.8214,-221345.6342
ANL_019,Analog_Bass_Static,300860.7493,411283.982,63.5787,-5.8421,1.1154,-300654.7776
ANL_019,Analog_Bass_Adaptive,300860.7493,411283.982,63.5787,-5.8421,1.1154,-300654.7776
ANL_020,Naive,57240.0,65763.5794,41.4857,-3.1251,1.0,57240.0
ANL_020,ARIMA,57228.2199,65753.3285,41.4757,-3.1238,0.9998,57228.2199
ANL_020,Analog_Only,74039.1994,83644.6131,54.6017,-5.6732,1.2935,-73966.8709
ANL_020,Bass_Only,35525.3168,43009.0385,24.9656,-0.7643,0.6206,35525.3168
ANL_020,Analog_Bass_Static,35516.6401,42998.7791,24.9594,-0.7635,0.6205,35516.6401
ANL_020,Analog_Bass_Adaptive,35516.6401,42998.7791,24.9594,-0.7635,0.6205,35516.6401
ANL_021,Naive,252820.2,296349.4187,60.7617,-2.6738,1.0,252820.2
ANL_021,ARIMA,251940.4889,295596.1674,60.4649,-2.6552,0.9965,251940.4889
ANL_021,Analog_Only,115408.2126,138363.621,26.9618,0.1991,0.4565,115407.5774
ANL_021,Bass_Only,11325.33,16104.653,3.0873,0.9892,0.0448,5696.2111
ANL_021,Analog_Bass_Static,11324.1727,16100.4303,3.0872,0.9892,0.0448,5689.6642
ANL_021,Analog_Bass_Adaptive,11324.1727,16100.4303,3.0872,0.9892,0.0448,5689.6642
ANL_022,Naive,62848.6667,71836.311,42.1718,-3.2631,1.0,62848.6667
ANL_022,ARIMA,62420.5341,71461.1828,41.8361,-3.2187,0.9932,62420.5341
ANL_022,Analog_Only,20119.4933,24486.5812,13.3201,0.5047,0.3201,-19410.0002
ANL_022,Bass_Only,62763.06,71702.7344,42.136,-3.2472,0.9986,62763.06
ANL_022,Analog_Bass_Static,62763.0831,71702.7556,42.1361,-3.2472,0.9986,62763.0831
ANL_022,Analog_Bass_Adaptive,62763.0831,71702.7556,42.1361,-3.2472,0.9986,62763.0831
ANL_023,Naive,60897.6333,69315.3419,42.866,-3.3834,1.0,60897.6333
ANL_023,ARIMA,60687.3771,69130.4117,42.6938,-3.36,0.9965,60687.3771
ANL_023,Analog_Only,36228.273,43235.935,24.8755,-0.7055,0.5949,-35488.4667
ANL_023,Bass_Only,55378.9388,64026.7429,38.5873,-2.74,0.9094,55378.9388
ANL_023,Analog_Bass_Static,55378.9432,64026.7472,38.5873,-2.74,0.9094,55378.9432
ANL_023,Analog_Bass_Adaptive,55378.9432,64026.7472,38.5873,-2.74,0.9094,55378.9432
ANL_024,Naive,216797.4667,237032.0393,74.2803,-5.1183,1.0,216797.4667
ANL_024,ARIMA,212041.1456,232600.9968,72.1836,-4.8916,0.9781,212041.1456
ANL_024,Analog_Only,124465.6703,134292.1576,43.8663,-0.9639,0.5741,124465.6703
ANL_024,Bass_Only,137378.8464,167028.6605,42.3781,-2.0381,0.6337,-136919.841
ANL_024,Analog_Bass_Static,137415.7722,167074.5312,42.3892,-2.0397,0.6338,-136956.855
ANL_024,Analog_Bass_Adaptive,137415.7722,167074.5312,42.3892,-2.0397,0.6338,-136956.855
ANL_025,Naive,293436.5667,338017.7415,71.4939,-3.0587,1.0,293436.5667
ANL_025,ARIMA,291453.6418,336272.9448,70.7727,-3.0169,0.9932,291453.6418
ANL_025,Analog_Only,151855.512,174373.744,37.0002,-0.0801,0.5175,151855.512
ANL_025,Bass_Only,242906.7402,289661.5237,55.7789,-1.9805,0.8278,242906.7402
ANL_025,Analog_Bass_Static,242907.0094,289661.7939,55.779,-1.9805,0.8278,242907.0094
ANL_025,Analog_Bass_Adaptive,242907.0094,289661.7939,55.779,-1.9805,0.8278,242907.0094
ANL_026,Naive,17803.0,20714.1561,39.1221,-2.8266,1.0,17803.0
ANL_026,ARIMA,17730.6438,20648.6915,38.9392,-2.8025,0.9959,17726.9912
ANL_026,Analog_Only,18019.4483,20489.4314,40.6866,-2.744,1.0122,-18019.4483
ANL_026,Bass_Only,7829.8607,10588.3292,16.4623,0.0001,0.4398,-7622.1412
ANL_026,Analog_Bass_Static,9595.9102,13199.2389,19.9316,-0.5537,0.539,-9414.8335
ANL_026,Analog_Bass_Adaptive,9595.9102,13199.2389,19.9316,-0.5537,0.539,-9414.8335
ANL_027,Naive,40586.5333,47755.0428,37.7461,-2.6012,1.0,40586.5333
ANL_027,ARIMA,39953.0179,47215.4104,37.038,-2.5203,0.9844,39953.0179
ANL_027,Analog_Only,27364.5311,31514.1902,26.1214,-0.5683,0.6742,-27364.5311
ANL_027,Bass_Only,36991.5711,44315.5745,33.9984,-2.1011,0.9114,36991.5711
ANL_027,Analog_Bass_Static,36991.4971,44315.5034,33.9983,-2.1011,0.9114,36991.4971
ANL_027,Analog_Bass_Adaptive,36991.4971,44315.5034,33.9983,-2.1011,0.9114,36991.4971
ANL_028,Naive,114219.2,132202.6408,38.4218,-2.9439,1.0,114219.2
ANL_028,ARIMA,113656.1993,131715.9005,38.1992,-2.9149,0.9951,113656.1993
ANL_028,Analog_Only,100526.3072,116409.5212,33.9349,-2.0579,0.8801,-100526.3072
ANL_028,Bass_Only,20055.9725,28963.6184,6.4422,0.8107,0.1756,-14368.8146
ANL_028,Analog_Bass_Static,17940.0102,25637.22,5.8353,0.8517,0.1571,-11888.2367
ANL_028,Analog_Bass_Adaptive,17940.0102,25637.22,5.8353,0.8517,0.1571,-11888.2367
ANL_029,Naive,37941.9333,44101.2625,39.3008,-2.8318,1.0,37912.4
ANL_029,ARIMA,37903.4317,44065.7696,39.2557,-2.8257,0.999,37871.1479
ANL_029,Analog_Only,7726.569,8961.837,8.4911,0.8418,0.2036,-6798.4898
ANL_029,Bass_Only,12518.9813,16967.7575,12.4371,0.4328,0.33,-11807.2864
ANL_029,Analog_Bass_Static,13292.4559,18111.9132,13.1485,0.3537,0.3503,-12601.7201
ANL_029,Analog_Bass_Adaptive,13292.4559,18111.9132,13.1485,0.3537,0.3503,-12601.7201
ANL_030,Naive,175023.3667,205179.2951,56.7801,-2.6718,1.0,175023.3667
ANL_030,ARIMA,175408.3602,205507.4513,56.953,-2.6836,1.0022,175408.3602
ANL_030,Analog_Only,90742.2636,107425.392,29.2618,-0.0065,0.5185,90515.7944
ANL_030,Bass_Only,50325.3646,80630.4534,13.8849,0.433,0.2875,-47213.8368
ANL_030,Analog_Bass_Static,54477.447,87339.5585,14.9546,0.3347,0.3113,-51603.5538
ANL_030,Analog_Bass_Adaptive,54477.447,87339.5585,14.9546,0.3347,0.3113,-51603.5538
ANL_031,Naive,24980.8667,28791.4084,39.9145,-3.0456,1.0,24980.8667
ANL_031,ARIMA,24969.998,28781.9779,39.8939,-3.0429,0.9996,24969.998
ANL_031,Analog_Only,4951.0395,6258.5189,8.0232,0.8088,0.1982,-4939.2462
ANL_031,Bass_Only,5049.4902,7840.6809,7.4496,0.7,0.2021,-4109.6284
ANL_031,Analog_Bass_Static,6246.6138,9754.2238,9.0939,0.5357,0.2501,-5462.4589
ANL_031,Analog_Bass_Adaptive,6246.6138,9754.2238,9.0939,0.5357,0.2501,-5462.4589
ANL_032,Naive,10452.2667,12061.5309,39.7375,-3.0154,1.0,10452.2667
ANL_032,ARIMA,10141.665,11791.557,38.3502,-2.8377,0.9703,10141.665
ANL_032,Analog_Only,3314.9898,3992.1274,12.7829,0.5601,0.3172,-3314.9898
ANL_032,Bass_Only,1578.2905,1867.945,6.807,0.9037,0.151,1427.825
ANL_032,Analog_Bass_Static,1495.2338,1742.9844,6.4241,0.9161,0.1431,965.987
ANL_032,Analog_Bass_Adaptive,1495.2338,1742.9844,6.4241,0.9161,0.1431,965.987
ANL_033,Naive,182164.3333,213754.6459,56.3734,-2.6532,1.0,182164.3333
ANL_033,ARIMA,179291.4211,211295.5227,55.1691,-2.5696,0.9842,179291.4211
ANL_033,Analog_Only,18022.8856,22059.3031,6.7637,0.9611,0.0989,-12685.4179
ANL_033,Bass_Only,166055.4091,198450.1886,50.3662,-2.1488,0.9116,166055.4091
ANL_033,Analog_Bass_Static,166055.6519,198450.424,50.3663,-2.1488,0.9116,166055.6519
ANL_033,Analog_Bass_Adaptive,166055.6519,198450.424,50.3663,-2.1488,0.9116,166055.6519
ANL_034,Naive,149615.0333,171325.665,42.3257,-3.2126,1.0,149615.0333
ANL_034,ARIMA,150644.0186,172228.341,42.6679,-3.2571,1.0069,150644.0186
ANL_034,Analog_Only,126388.115,152030.0206,35.0388,-2.3171,0.8448,-126388.115
ANL_034,Bass_Only,125121.5782,148279.321,34.5798,-2.1555,0.8363,125121.5782
ANL_034,Analog_Bass_Static,125120.7686,148278.5158,34.5796,-2.1554,0.8363,125120.7686
ANL_034,Analog_Bass_Adaptive,125120.7686,148278.5158,34.5796,-2.1554,0.8363,125120.7686
ANL_035,Naive,244756.2,277239.3172,74.0377,-3.533,1.0,244756.2
ANL_035,ARIMA,241055.3797,273922.8078,72.397,-3.4252,0.9849,241055.3797
ANL_035,Analog_Only,165327.099,187697.5931,49.6569,-1.0777,0.6755,165327.099
ANL_035,Bass_Only,133317.8959,180287.7047,33.8434,-0.9169,0.5447,-132489.6395
ANL_035,Analog_Bass_Static,326532.7082,458301.5494,80.8302,-11.3873,1.3341,-325910.9116
ANL_035,Analog_Bass_Adaptive,326532.7082,458301.5494,80.8302,-11.3873,1.3341,-325910.9116
