drug_id,market_size,competitive_density,payer_restrictiveness,promotional_intensity,price_tier,market_x_competition,payer_x_competition,promo_x_route_friction,special_designation_flag,mechanism_of_action_ACE inhibitor,mechanism_of_action_Anti-CD20 monoclonal antibody,mechanism_of_action_CGRP antagonist,mechanism_of_action_DPP-4 inhibitor,mechanism_of_action_Factor Xa inhibitor,mechanism_of_action_Integrin antagonist,mechanism_of_action_JAK inhibitor,mechanism_of_action_PCSK9 inhibitor,mechanism_of_action_PD-1 inhibitor,mechanism_of_action_Proton pump inhibitor,mechanism_of_action_SGLT2 inhibitor,mechanism_of_action_Sodium channel blocker,mechanism_of_action_TNF-alpha inhibitor,mechanism_of_action_Tyrosine kinase inhibitor,route_of_administration_Inhaled,route_of_administration_Injectable,route_of_administration_Intravenous,route_of_administration_Oral,route_of_administration_Subcutaneous,route_of_administration_Topical,target_specialty_Cardiology,target_specialty_Dermatology,target_specialty_Endocrinology,target_specialty_Gastroenterology,target_specialty_Hematology,target_specialty_Neurology,target_specialty_Oncology,target_specialty_Primary Care,target_specialty_Psychiatry,target_specialty_Pulmonology,target_specialty_Rheumatology,launch_quarter_Q1,launch_quarter_Q2,launch_quarter_Q3,launch_quarter_Q4
ANL_015,0.13838071976140262,0.039329256411728,-1.4912022701586516,1.2582641388897962,0.7376433061167323,0.24328195457914992,-0.9364125481798284,3.359428960817492,-0.40824829046386296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANL_016,0.7077858416316125,-1.3371947179987569,-1.4912022701586516,1.2582641388897962,0.7376433061167323,-0.7106844627813764,-1.2017926225627757,0.023825737310762363,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_017,0.17541762043491493,-0.6489327307935144,-0.15294382258037456,-1.2228200786393797,0.03987261114144486,-0.2939285852607042,-0.5383424366054075,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANL_018,-0.8274125997223196,-1.3371947179987569,-1.4912022701586516,-0.6025490242570857,-0.6578980838338426,-1.1496601520649001,-1.2017926225627757,-0.4765147462152471,2.4494897427831783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_019,-0.6998161043260489,0.7275912436169704,0.516185401208764,-0.6025490242570857,0.03987261114144486,-0.15702507833380694,0.7885579353093293,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANL_020,1.4360998303162609,0.7275912436169704,-0.15294382258037456,1.2582641388897962,1.43541400109202,2.2859559576145156,0.2577977865434346,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANL_021,0.9754335834196277,0.039329256411728,1.1853146249979025,-1.2228200786393797,0.7376433061167323,0.9613243546229967,0.6558678981178556,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_022,1.565686438690649,-0.6489327307935144,1.1853146249979025,1.2582641388897962,0.03987261114144486,0.5011402427729749,-0.0075822878395127545,1.6916273490641272,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ANL_023,-0.7470682880060016,1.4158532308222127,1.1853146249979025,0.6379930845075023,-1.3556687788091302,0.0941349951423046,1.9827682700325924,0.5241662208367719,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_024,1.7065176581023207,-1.3371947179987569,-0.15294382258037456,-0.6025490242570857,-0.6578980838338426,-0.4251064060723288,-0.9364125481798284,0.8577265431874447,-0.40824829046386296,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANL_025,1.3606835299531193,0.7275912436169704,1.1853146249979025,1.2582641388897962,0.7376433061167323,2.1996976041838634,1.319318084075224,1.6916273490641272,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_026,0.352782303389055,1.4158532308222127,1.1853146249979025,-1.2228200786393797,1.43541400109202,1.666595135997891,1.9827682700325924,-0.30973458503991064,-0.40824829046386296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_027,0.304368432620332,0.7275912436169704,1.1853146249979025,0.6379930845075023,0.7376433061167323,0.991523766948056,1.319318084075224,-0.14295442386457408,2.4494897427831783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANL_028,-1.4505850435434802,-1.3371947179987569,0.516185401208764,0.6379930845075023,-1.3556687788091302,-1.3278505056374548,-0.8037225109883548,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANL_029,0.09293783713222047,-1.3371947179987569,-0.8220730463695131,1.2582641388897962,0.7376433061167323,-0.8864945204972277,-1.069102585371302,-0.81007506856592,-0.40824829046386296,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANL_030,-1.3103388038967538,-1.3371947179987569,-0.15294382258037456,-0.6025490242570857,-1.3556687788091302,-1.287748400228822,-0.9364125481798284,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ANL_031,1.3098281072765636,0.039329256411728,1.1853146249979025,-0.6025490242570857,0.7376433061167323,1.2481753492213403,0.6558678981178556,-0.14295442386457408,2.4494897427831783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_032,0.2592895374004492,1.4158532308222127,1.1853146249979025,0.6379930845075023,-0.6578980838338426,1.5329282096666077,1.9827682700325924,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_033,-0.5500246494036379,0.039329256411728,-1.4912022701586516,0.6379930845075023,-0.6578980838338426,-0.34724734761814147,-0.9364125481798284,-0.81007506856592,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANL_034,0.7614408947387856,-1.3371947179987569,-0.15294382258037456,-1.2228200786393797,0.03987261114144486,-0.6953423003046525,-0.9364125481798284,-0.81007506856592,2.4494897427831783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANL_035,-0.365895473167584,0.7275912436169704,-0.15294382258037456,1.2582641388897962,1.43541400109202,0.2249008936584548,0.2577977865434346,1.6916273490641272,-0.40824829046386296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
